id,year,state,state_po,candidate,party,candidatevotes,totalvotes,pct
2,1976,ALABAMA,AL,"FORD, GERALD",REP,504070,1182850,0.4261
103,1980,ALABAMA,AL,"REAGAN, RONALD",REP,654192,1341929,0.4875
205,1984,ALABAMA,AL,"REAGAN, RONALD",REP,872849,1441713,0.6054
307,1988,ALABAMA,AL,"BUSH, GEORGE H.W.",REP,815576,1378476,0.5917
409,1992,ALABAMA,AL,"BUSH, GEORGE H.W.",REP,804283,1688060,0.4765
511,1996,ALABAMA,AL,"DOLE, ROBERT",REP,769044,1534349,0.5012
613,2000,ALABAMA,AL,"BUSH, GEORGE W.",REP,941173,1666272,0.5648
715,2004,ALABAMA,AL,"BUSH, GEORGE W.",REP,1176394,1883415,0.6246
818,2008,ALABAMA,AL,"MCCAIN, JOHN",REP,1266546,2099819,0.6032
920,2012,ALABAMA,AL,"ROMNEY, MITT",REP,1255925,2074338,0.6055
1022,2016,ALABAMA,AL,"TRUMP, DONALD J.",REP,1318255,2123372,0.6208
1128,2020,ALABAMA,AL,"TRUMP, DONALD J.",REP,1441170,2323282,0.6203
3,1976,ALASKA,AK,"FORD, GERALD",REP,71555,123574,0.579
105,1980,ALASKA,AK,"REAGAN, RONALD",REP,86112,158445,0.5435
207,1984,ALASKA,AK,"REAGAN, RONALD",REP,138377,207605,0.6665
309,1988,ALASKA,AK,"BUSH, GEORGE H.W.",REP,119251,200116,0.5959
411,1992,ALASKA,AK,"BUSH, GEORGE H.W.",REP,102000,258506,0.3946
513,1996,ALASKA,AK,"DOLE, ROBERT",REP,122746,241620,0.508
615,2000,ALASKA,AK,"BUSH, GEORGE W.",REP,167398,285560,0.5862
717,2004,ALASKA,AK,"BUSH, GEORGE W.",REP,190889,312598,0.6107
820,2008,ALASKA,AK,"MCCAIN, JOHN",REP,193841,326197,0.5942
922,2012,ALASKA,AK,"ROMNEY, MITT",REP,164676,300495,0.548
1024,2016,ALASKA,AK,"TRUMP, DONALD J.",REP,163387,318608,0.5128
1130,2020,ALASKA,AK,"TRUMP, DONALD J.",REP,189951,359530,0.5283
5,1976,ARIZONA,AZ,"FORD, GERALD",REP,418642,742719,0.5637
107,1980,ARIZONA,AZ,"REAGAN, RONALD",REP,529688,873945,0.6061
209,1984,ARIZONA,AZ,"REAGAN, RONALD",REP,681416,1025897,0.6642
311,1988,ARIZONA,AZ,"BUSH, GEORGE H.W.",REP,702541,1171873,0.5995
413,1992,ARIZONA,AZ,"BUSH, GEORGE H.W.",REP,572086,1486975,0.3847
516,1996,ARIZONA,AZ,"DOLE, ROBERT",REP,622073,1404405,0.4429
617,2000,ARIZONA,AZ,"BUSH, GEORGE W.",REP,781652,1532016,0.5102
719,2004,ARIZONA,AZ,"BUSH, GEORGE W.",REP,1104294,2012585,0.5487
822,2008,ARIZONA,AZ,"MCCAIN, JOHN",REP,1230111,2293475,0.5364
924,2012,ARIZONA,AZ,"ROMNEY, MITT",REP,1233654,2299254,0.5365
1026,2016,ARIZONA,AZ,"TRUMP, DONALD J.",REP,1252401,2573165,0.4867
1132,2020,ARIZONA,AZ,"TRUMP, DONALD J.",REP,1661686,3387326,0.4906
8,1976,ARKANSAS,AR,"FORD, GERALD",REP,267903,767535,0.349
109,1980,ARKANSAS,AR,"REAGAN, RONALD",REP,403164,837582,0.4813
211,1984,ARKANSAS,AR,"REAGAN, RONALD",REP,534774,884406,0.6047
313,1988,ARKANSAS,AR,"BUSH, GEORGE H.W.",REP,466578,827738,0.5637
416,1992,ARKANSAS,AR,"BUSH, GEORGE H.W.",REP,337324,950653,0.3548
518,1996,ARKANSAS,AR,"DOLE, ROBERT",REP,325416,884262,0.368
619,2000,ARKANSAS,AR,"BUSH, GEORGE W.",REP,472940,921781,0.5131
721,2004,ARKANSAS,AR,"BUSH, GEORGE W.",REP,572898,1054945,0.5431
824,2008,ARKANSAS,AR,"MCCAIN, JOHN",REP,638017,1086617,0.5872
926,2012,ARKANSAS,AR,"ROMNEY, MITT",REP,647744,1069468,0.6057
1029,2016,ARKANSAS,AR,"TRUMP, DONALD J.",REP,684872,1130635,0.6057
1134,2020,ARKANSAS,AR,"TRUMP, DONALD J.",REP,760647,1219069,0.624
